Epoch 0001 | Time 2.486 (2.465) | NFE-F 20.2 | NFE-B 20.2 | Train Acc 0.9734 | Test Acc 0.9758
Epoch 0002 | Time 2.642 (2.457) | NFE-F 20.1 | NFE-B 20.0 | Train Acc 0.9860 | Test Acc 0.9868
Epoch 0003 | Time 2.514 (2.508) | NFE-F 20.1 | NFE-B 20.0 | Train Acc 0.9887 | Test Acc 0.9882
Epoch 0004 | Time 2.560 (2.476) | NFE-F 20.1 | NFE-B 20.0 | Train Acc 0.9918 | Test Acc 0.9906
Epoch 0005 | Time 2.528 (2.509) | NFE-F 20.1 | NFE-B 20.0 | Train Acc 0.9889 | Test Acc 0.9886
Epoch 0006 | Time 2.590 (2.430) | NFE-F 20.1 | NFE-B 20.0 | Train Acc 0.9943 | Test Acc 0.9936
Epoch 0007 | Time 2.524 (2.450) | NFE-F 20.1 | NFE-B 20.0 | Train Acc 0.9955 | Test Acc 0.9938
Epoch 0008 | Time 2.586 (2.538) | NFE-F 20.2 | NFE-B 20.0 | Train Acc 0.9935 | Test Acc 0.9923
Epoch 0009 | Time 2.666 (2.520) | NFE-F 20.1 | NFE-B 20.0 | Train Acc 0.9945 | Test Acc 0.9923
Epoch 0010 | Time 2.673 (2.519) | NFE-F 20.2 | NFE-B 20.0 | Train Acc 0.9962 | Test Acc 0.9941
Epoch 0011 | Time 2.554 (2.530) | NFE-F 20.5 | NFE-B 20.0 | Train Acc 0.9963 | Test Acc 0.9942
Epoch 0012 | Time 2.708 (2.523) | NFE-F 20.3 | NFE-B 20.0 | Train Acc 0.9966 | Test Acc 0.9955
Epoch 0013 | Time 2.648 (2.560) | NFE-F 20.4 | NFE-B 20.0 | Train Acc 0.9955 | Test Acc 0.9936
Epoch 0014 | Time 2.585 (2.523) | NFE-F 20.3 | NFE-B 20.0 | Train Acc 0.9968 | Test Acc 0.9940
Epoch 0015 | Time 2.606 (2.519) | NFE-F 20.2 | NFE-B 20.0 | Train Acc 0.9956 | Test Acc 0.9936
